grid_id,lat,lon,elevation,temp,rh,wind_speed
GRID_172,18.3179,99.4643,246.0,28.5,65.0,5.2
GRID_173,18.3179,99.475,249.0,28.5,65.0,5.2
GRID_174,18.3179,99.4857,255.0,28.5,65.0,5.2
GRID_175,18.3179,99.4964,241.0,28.5,65.0,5.2
GRID_176,18.3179,99.5071,241.0,28.5,65.0,5.2
GRID_177,18.3179,99.5179,241.0,28.5,65.0,5.2
GRID_178,18.3179,99.5286,242.0,28.5,65.0,5.2
GRID_179,18.3179,99.5393,246.0,28.5,65.0,5.2
GRID_180,18.3179,99.55,255.0,28.5,65.0,5.2
GRID_181,18.3286,99.4,255.0,28.5,65.0,5.2
GRID_182,18.3286,99.4107,253.0,28.5,65.0,5.2
GRID_183,18.3286,99.4214,253.0,28.5,65.0,5.2
GRID_184,18.3286,99.4321,243.0,28.5,65.0,5.2
GRID_185,18.3286,99.4429,243.0,28.5,65.0,5.2
GRID_186,18.3286,99.4536,240.0,28.5,65.0,5.2
GRID_187,18.3286,99.4643,247.0,28.5,65.0,5.2
GRID_188,18.3286,99.475,251.0,28.5,65.0,5.2
GRID_189,18.3286,99.4857,251.0,28.5,65.0,5.2
GRID_190,18.3286,99.4964,257.0,28.5,65.0,5.2
GRID_191,18.3286,99.5071,251.0,28.5,65.0,5.2
GRID_192,18.3286,99.5179,240.0,28.5,65.0,5.2
GRID_193,18.3286,99.5286,241.0,28.5,65.0,5.2
GRID_194,18.3286,99.5393,241.0,28.5,65.0,5.2
GRID_195,18.3286,99.55,249.0,28.5,65.0,5.2
GRID_196,18.3393,99.4,264.0,28.5,65.0,5.2
GRID_197,18.3393,99.4107,254.0,28.5,65.0,5.2
GRID_198,18.3393,99.4214,249.0,28.5,65.0,5.2
GRID_199,18.3393,99.4321,252.0,28.5,65.0,5.2
GRID_200,18.3393,99.4429,242.0,28.5,65.0,5.2
GRID_201,18.3393,99.4536,242.0,28.5,65.0,5.2
GRID_202,18.3393,99.4643,254.0,28.5,65.0,5.2
GRID_203,18.3393,99.475,267.0,28.5,65.0,5.2
GRID_204,18.3393,99.4857,269.0,28.5,65.0,5.2
GRID_205,18.3393,99.4964,257.0,28.5,65.0,5.2
GRID_206,18.3393,99.5071,261.0,28.5,65.0,5.2
GRID_207,18.3393,99.5179,251.0,28.5,65.0,5.2
GRID_208,18.3393,99.5286,244.0,28.5,65.0,5.2
GRID_209,18.3393,99.5393,244.0,28.5,65.0,5.2
GRID_210,18.3393,99.55,245.0,28.5,65.0,5.2
GRID_211,18.35,99.4,265.0,28.5,65.0,5.2
GRID_212,18.35,99.4107,258.0,28.5,65.0,5.2
GRID_213,18.35,99.4214,268.0,28.5,65.0,5.2
GRID_214,18.35,99.4321,256.0,28.5,65.0,5.2
GRID_215,18.35,99.4429,245.0,28.5,65.0,5.2
GRID_216,18.35,99.4536,247.0,28.5,65.0,5.2
GRID_217,18.35,99.4643,259.0,28.5,65.0,5.2
GRID_218,18.35,99.475,274.0,28.5,65.0,5.2
GRID_219,18.35,99.4857,275.0,28.5,65.0,5.2
GRID_220,18.35,99.4964,265.0,28.5,65.0,5.2
GRID_221,18.35,99.5071,270.0,28.5,65.0,5.2
GRID_222,18.35,99.5179,256.0,28.5,65.0,5.2
